Title,Artist,Hash_tag,Price,URL,img,Type
올드 안나,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EC%98%AC%EB%93%9C-%EC%95%88%EB%82%98/13184/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/90fb392d7566fa0e1db4c4f7f458aa06.jpg,Masterpiece
오래된 교회 아침,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #차분,"43,000 ",https://www.wart.co.kr/product/%EC%98%A4%EB%9E%98%EB%90%9C-%EA%B5%90%ED%9A%8C-%EC%95%84%EC%B9%A8/13183/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/f0e2e81c3dd166f08799351e4fa4c30f.jpg,Masterpiece
에스본,칼 라르손 (Carl Larsson),#사실주의 #심플 #편안,"43,000 ",https://www.wart.co.kr/product/%EC%97%90%EC%8A%A4%EB%B3%B8/13182/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/6e0e6f9f7c1f04d03dd2a814128f54a0.jpg,Masterpiece
어머니,칼 라르손 (Carl Larsson),#사실주의 #클래식 #차분,"43,000 ",https://www.wart.co.kr/product/%EC%96%B4%EB%A8%B8%EB%8B%88/13181/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/c1848413856c49196dcd6ce5d83cad01.jpg,Masterpiece
야외 스튜디오,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%95%BC%EC%99%B8-%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4/13179/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/675cebcb0c143b5d788bf7e8ef1726b8.jpg,Masterpiece
아프다고 말하는,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%95%84%ED%94%84%EB%8B%A4%EA%B3%A0-%EB%A7%90%ED%95%98%EB%8A%94/13178/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/6398275517ad99718e6df61ac3893b5b.jpg,Masterpiece
아이들이 잠자리에 들었을 때,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%95%84%EC%9D%B4%EB%93%A4%EC%9D%B4-%EC%9E%A0%EC%9E%90%EB%A6%AC%EC%97%90-%EB%93%A4%EC%97%88%EC%9D%84-%EB%95%8C/13177/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/da4e1b7c94557c3e5252b5f24d2b3c60.jpg,Masterpiece
아버지의 방,칼 라르손 (Carl Larsson),#사실주의 #클래식 #여유,"43,000 ",https://www.wart.co.kr/product/%EC%95%84%EB%B2%84%EC%A7%80%EC%9D%98-%EB%B0%A9/13176/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/5698cd0a3eed8534c7ce4eaff9f1ed7f.jpg,Masterpiece
시골집,칼 라르손 (Carl Larsson),#사실주의 #내츄럴 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%8B%9C%EA%B3%A8%EC%A7%91/13175/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/98eed9693b48241aa2de6c24506559b6.jpg,Masterpiece
소녀와 흔들의자,칼 라르손 (Carl Larsson),#사실주의 #클래식 #힐링,"43,000 ",https://www.wart.co.kr/product/%EC%86%8C%EB%85%80%EC%99%80-%ED%9D%94%EB%93%A4%EC%9D%98%EC%9E%90/13174/category/380/display/1/,https://www.wart.co.kr/web/product/medium/202206/843c194fae52d9714f8450252a6b8fc1.jpg,Masterpiece
